"id","query","answer"
15,Send DMA limit order via FIX and compare ClOrdID with last execution report,"self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_limit()
self.fix_manager.send_message_and_receive_response_fix_standard(self.nos_message)
exec_report = self.fix_manager.get_last_message('ExecutionReport').get_parameters()
exp_cl_ord_id = self.nos_message.get_parameter('ClOrdID')
self.fix_manager.compare_values({""ClOrdID"": exp_cl_ord_id}, exec_report, ""Compare ClOrdID"")"
16,Send default iceberg via FIX,"self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_iceberg()
self.fix_manager.send_message_fix_standard(self.nos_message)
"
17,"Send Care limit with Currency=USD, Instrument=ISI1, account=MOClient via FIX","self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_limit()
client = self.data_set.get_client_by_name(""client_pt_1"")  # MOClient
currency = self.data_set.get_currency_by_name(""currency_4"")  # USD
instrument = self.data_set.get_fix_instrument_by_name(""instrument_2"")  # ISI1
self.nos_message.change_parameters({""Account"": client, ""Currency"":currency, ""Instrument"":instrument})
self.fix_manager.send_message_fix_standard(self.nos_message)"
18,Send DMA limit order via FIX and add PendingAndNew rule,"self.fix_env = self.environment.get_list_fix_environment()[0]
self.venue_client =  self.data_set.get_venue_client_names_by_name('client_1_venue_1')
self.mic = self.data_set.get_mic_by_name('mic_1')
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_limit()
self.price = self.nos_message.get_parameter(""Price"")
try:
	rule = self.rule_manager.add_NewOrdSingleExecutionReportPendingAndNew_FIXStandard(
	self.fix_env.buy_side, self.venue_client, self.mic, float(self.price))
	self.fix_manager.send_message_fix_standard(self.nos_message)
finally:
	self.rule_manager.remove_rule(rule)"
19,"Send DMA market order via FIX , add market rule","self.fix_env = self.environment.get_list_fix_environment()[0]
self.venue_client =  self.data_set.get_venue_client_names_by_name('client_1_venue_1')
self.mic = self.data_set.get_mic_by_name('mic_1')
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_market()
try:
	rule = self.rule_manager.add_NewOrdSingle_Market_FIXStandard(
	self.fix_env.buy_side, self.venue_client, self.mic, trade=false,trade_qty=0,avg_px=0.0)
	self.fix_manager.send_message_fix_standard(self.nos_message)
finally:
	self.rule_manager.remove_rule(rule)"
24,"Send DMA limit order via FIX , add FOK rule","self.fix_env = self.environment.get_list_fix_environment()[0]
self.venue_client =  self.data_set.get_venue_client_names_by_name('client_1_venue_1')
self.mic = self.data_set.get_mic_by_name('mic_1')
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_limit()
self.price = self.nos_message.get_parameter(""Price"")
try:
	rule = self.rule_manager.add_NewOrdSingle_FOK_FIXStandard(
	self.fix_env.buy_side, self.venue_client, self.mic, trade=false, price=float(self.price))
	self.fix_manager.send_message_fix_standard(self.nos_message)
finally:
	self.rule_manager.remove_rule(rule)"
20,"Send DMA market order via FIX , add market rule with trade","self.fix_env = self.environment.get_list_fix_environment()[0]
self.venue_client =  self.data_set.get_venue_client_names_by_name('client_1_venue_1')
self.mic = self.data_set.get_mic_by_name('mic_1')
self.avg_px = ""10""
self.trade_qty = ""100""
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_market()
try:
	rule = self.rule_manager.add_NewOrdSingle_Market_FIXStandard(
	self.fix_env.buy_side, self.venue_client, self.mic, trade=false,trade_qty=int(self.trade_qty),avg_px=float(self.avg_px))
	self.fix_manager.send_message_fix_standard(self.nos_message)
finally:
	self.rule_manager.remove_rule(rule)"
21,"Send DMA limit order via FIX , add trade rule","self.fix_env = self.environment.get_list_fix_environment()[0]
self.venue_client =  self.data_set.get_venue_client_names_by_name('client_1_venue_1')
self.mic = self.data_set.get_mic_by_name('mic_1')
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_limit()
self.price = self.nos_message.get_parameter(""Price"")
self.qty = self.nos_message.get_parameter(""OrderQtyData"")[""OrderQty""]
try:
	rule = self.rule_manager.add_NewOrdSingleExecutionReportTrade_FIXStandard(
	self.fix_env.buy_side, self.venue_client, self.mic, float(self.price), int(self.qty))
	self.fix_manager.send_message_fix_standard(self.nos_message)
finally:
	self.rule_manager.remove_rule(rule)"
22,"Send DMA limit order via FIX , add rules: PendingAndNew, Trade","self.fix_env = self.environment.get_list_fix_environment()[0]
self.venue_client =  self.data_set.get_venue_client_names_by_name('client_1_venue_1')
self.mic = self.data_set.get_mic_by_name('mic_1')
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_limit()
self.price = self.nos_message.get_parameter(""Price"")
self.qty = self.nos_message.get_parameter(""OrderQtyData"")[""OrderQty""]
try:
	rule = self.rule_manager.add_NewOrdSingleExecutionReportPendingAndNew_FIXStandard(
	self.fix_env.buy_side, self.venue_client, self.mic, float(self.price))
	rule2 = self.rule_manager.add_NewOrdSingleExecutionReportTrade_FIXStandard(
	self.fix_env.buy_side, self.venue_client, self.mic, float(self.price), int(self.qty))
	self.fix_manager.send_message_fix_standard(self.nos_message)
finally:
	self.rule_manager.remove_rules([rule, rule2])"
25,"Send DMA limit order via FIX , add IOK rule","self.fix_env = self.environment.get_list_fix_environment()[0]
self.venue_client =  self.data_set.get_venue_client_names_by_name('client_1_venue_1')
self.mic = self.data_set.get_mic_by_name('mic_1')
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_limit()
self.price = self.nos_message.get_parameter(""Price"")
try:
	rule = self.rule_manager.add_NewOrdSingle_IOC_FIXStandard(
	self.fix_env.buy_side, self.venue_client, self.mic, trade=false, tradedQty=0, price=float(self.price))
	self.fix_manager.send_message_fix_standard(self.nos_message)
finally:
	self.rule_manager.remove_rule(rule)"
23,"Send DMA limit order via FIX , add TradeByOrdQty rule","self.fix_env = self.environment.get_list_fix_environment()[0]
self.venue_client =  self.data_set.get_venue_client_names_by_name('client_1_venue_1')
self.mic = self.data_set.get_mic_by_name('mic_1')
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_limit()
self.price = self.nos_message.get_parameter(""Price"")
self.trd_price = self.price
self.qty = self.nos_message.get_parameter(""OrderQtyData"")[""OrderQty""]
self.trd_qty = self.qty
try:
	        rule = self.rule_manager.add_NewOrdSingleExecutionReportTradeByOrdQty_FIXStandard(
            self.fix_env.buy_side, self.venue_client, self.mic, float(self.price), float(self.trd_price), int(self.qty),
            int(self.trd_qty))
        self.fix_manager.send_message_fix_standard(self.nos_message)
finally:
	self.rule_manager.remove_rule(rule)"
26,"Send DMA market order via FIX , add IOK rule","self.fix_env = self.environment.get_list_fix_environment()[0]
self.venue_client =  self.data_set.get_venue_client_names_by_name('client_1_venue_1')
self.mic = self.data_set.get_mic_by_name('mic_1')
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_market()
self.price = ""10""
try:
	rule = self.rule_manager.add_MarketNewOrdSingle_IOC_FIXStandard(
	self.fix_env.buy_side, self.venue_client, self.mic, trade=false, tradedQty=0, price=float(self.price))
	self.fix_manager.send_message_fix_standard(self.nos_message)
finally:
	self.rule_manager.remove_rule(rule)"
